epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,6930.63,1.4326,0.96653,1.24764,0.80424,0.66225,0.75617,0.47105,1.44783,0.89412,1.32866,0.0093268,0.0093268,0.0093268
70,7033.54,1.43943,0.96539,1.24924,0.80509,0.66296,0.75685,0.4721,1.44959,0.89368,1.3301,0.0093169,0.0093169,0.0093169
71,7135.01,1.42419,0.96465,1.24927,0.80839,0.65941,0.75672,0.47214,1.44829,0.89223,1.33091,0.009307,0.009307,0.009307
72,7236.22,1.42401,0.95914,1.2446,0.8069,0.66007,0.7567,0.47213,1.44939,0.89162,1.33034,0.0092971,0.0092971,0.0092971
73,7335.06,1.42552,0.96018,1.24423,0.80371,0.66276,0.75703,0.47205,1.44805,0.89047,1.32883,0.0092872,0.0092872,0.0092872
74,7436.36,1.42862,0.96237,1.24547,0.80456,0.66107,0.75696,0.47194,1.4466,0.89109,1.32863,0.0092773,0.0092773,0.0092773
75,7537.62,1.42783,0.95847,1.2452,0.80591,0.65997,0.75815,0.4724,1.44596,0.88971,1.32881,0.0092674,0.0092674,0.0092674
76,7639.05,1.41882,0.95628,1.23939,0.8029,0.66391,0.75777,0.47292,1.44565,0.8883,1.32984,0.0092575,0.0092575,0.0092575
77,7741.58,1.4287,0.96482,1.24241,0.8084,0.66082,0.75817,0.47276,1.44535,0.8883,1.32965,0.0092476,0.0092476,0.0092476
78,7842.96,1.4192,0.95429,1.24066,0.80876,0.66306,0.75844,0.47309,1.44565,0.8874,1.33074,0.0092377,0.0092377,0.0092377
79,7945.34,1.42143,0.95112,1.24143,0.80663,0.66313,0.75891,0.47309,1.44522,0.88749,1.32989,0.0092278,0.0092278,0.0092278
80,8047.48,1.41702,0.95599,1.24343,0.80871,0.66191,0.75943,0.47358,1.44445,0.8869,1.33002,0.0092179,0.0092179,0.0092179
81,8149.19,1.4167,0.95304,1.23753,0.80524,0.66554,0.75983,0.47417,1.44356,0.88613,1.33003,0.009208,0.009208,0.009208
82,8249.91,1.41334,0.94915,1.23542,0.80424,0.66796,0.76021,0.47469,1.44349,0.88604,1.32864,0.0091981,0.0091981,0.0091981
83,8352.23,1.42115,0.94656,1.23973,0.8062,0.6656,0.76016,0.4744,1.44381,0.88523,1.32894,0.0091882,0.0091882,0.0091882
84,8453.09,1.41528,0.95192,1.2372,0.81058,0.66371,0.76042,0.4747,1.44378,0.88481,1.32967,0.0091783,0.0091783,0.0091783
85,8555.17,1.42131,0.95097,1.23505,0.80707,0.66466,0.76043,0.47482,1.44436,0.88453,1.32984,0.0091684,0.0091684,0.0091684
86,8657.03,1.41751,0.94949,1.24052,0.80764,0.66521,0.76065,0.47461,1.44368,0.88295,1.32929,0.0091585,0.0091585,0.0091585
87,8756.4,1.41315,0.94416,1.23439,0.80522,0.66805,0.76103,0.47497,1.44319,0.88284,1.32872,0.0091486,0.0091486,0.0091486
88,8857.84,1.41702,0.94539,1.2319,0.80519,0.66891,0.76098,0.4747,1.44285,0.88208,1.32832,0.0091387,0.0091387,0.0091387
89,8959.25,1.41553,0.94541,1.23344,0.80864,0.66731,0.76146,0.47508,1.44303,0.88152,1.32736,0.0091288,0.0091288,0.0091288
90,9061.07,1.41626,0.94978,1.2347,0.8091,0.66664,0.7615,0.4753,1.44318,0.88164,1.32762,0.0091189,0.0091189,0.0091189
91,9162.09,1.41926,0.94896,1.23398,0.80689,0.66765,0.76122,0.47552,1.44357,0.88106,1.32751,0.009109,0.009109,0.009109
92,9263.52,1.41426,0.94374,1.23415,0.8059,0.66854,0.76185,0.47605,1.44321,0.88074,1.3274,0.0090991,0.0090991,0.0090991
93,9365.66,1.40729,0.94125,1.22866,0.80528,0.66946,0.76143,0.47601,1.44379,0.88037,1.32739,0.0090892,0.0090892,0.0090892
94,9467.09,1.41479,0.94335,1.23339,0.80538,0.66799,0.76151,0.47583,1.44314,0.87949,1.32735,0.0090793,0.0090793,0.0090793
95,9567.94,1.40869,0.94233,1.23254,0.80346,0.67063,0.76201,0.47599,1.44329,0.87937,1.32835,0.0090694,0.0090694,0.0090694
96,9667.03,1.41084,0.94557,1.22971,0.80554,0.66973,0.76205,0.47602,1.44314,0.87897,1.32901,0.0090595,0.0090595,0.0090595
97,9769.05,1.41624,0.94333,1.23145,0.8043,0.6703,0.7619,0.47564,1.44308,0.87851,1.32883,0.0090496,0.0090496,0.0090496
98,9871.79,1.41611,0.94763,1.23309,0.80611,0.66975,0.76246,0.47604,1.44319,0.87822,1.32899,0.0090397,0.0090397,0.0090397
99,9972.79,1.41588,0.94415,1.23083,0.80692,0.66882,0.76273,0.47605,1.44311,0.87781,1.3292,0.0090298,0.0090298,0.0090298
100,10075.9,1.41909,0.94358,1.23082,0.80554,0.66939,0.76239,0.47607,1.44339,0.87754,1.32902,0.0090199,0.0090199,0.0090199
101,10176,1.40796,0.93639,1.23162,0.8095,0.66735,0.76274,0.47618,1.44353,0.87711,1.32896,0.00901,0.00901,0.00901
102,10274.7,1.40425,0.93263,1.22954,0.80973,0.66703,0.76279,0.47653,1.44309,0.87622,1.32888,0.0090001,0.0090001,0.0090001
103,10376.5,1.41363,0.94459,1.2358,0.8102,0.66675,0.76282,0.47681,1.44295,0.87583,1.32855,0.0089902,0.0089902,0.0089902
104,10478.2,1.41108,0.93624,1.2265,0.80968,0.66762,0.76319,0.47688,1.44274,0.87551,1.32816,0.0089803,0.0089803,0.0089803
